"","name","y_rmse","mean1","mean2","var1","var2"
"86","rmse",1.15400661065285,4.36461538461538,-0.01,1,1
"87","unif",2.29112924789831,4.36461538461538,-0.01,1,1
"88","var",2.28373533698862,4.36461538461538,-0.01,1,1
"89","y1",4.47516132203535,4.36461538461538,-0.01,1,1
"90","y2",1.00003257717429,4.36461538461538,-0.01,1,1
"91","rmse",1.17203786210052,4.62076923076923,-0.01,1,1
"92","unif",2.41731763831812,4.62076923076923,-0.01,1,1
"93","var",2.41448418654857,4.62076923076923,-0.01,1,1
"94","y1",4.72414821151121,4.62076923076923,-0.01,1,1
"95","y2",1.0016970203432,4.62076923076923,-0.01,1,1
"96","rmse",1.17003534732749,4.87692307692308,-0.01,1,1
"97","unif",2.52559019341382,4.87692307692308,-0.01,1,1
"98","var",2.53467059067493,4.87692307692308,-0.01,1,1
"99","y1",4.96517536188034,4.87692307692308,-0.01,1,1
"100","y2",1.00132353463611,4.87692307692308,-0.01,1,1
"101","rmse",1.1863762884264,5.13307692307692,-0.01,1,1
"102","unif",2.65438832701314,5.13307692307692,-0.01,1,1
"103","var",2.65527549767823,5.13307692307692,-0.01,1,1
"104","y1",5.21849727154815,5.13307692307692,-0.01,1,1
"105","y2",1.00272922833393,5.13307692307692,-0.01,1,1
"106","rmse",1.201036057905,5.38923076923077,-0.01,1,1
"107","unif",2.79597318215466,5.38923076923077,-0.01,1,1
"108","var",2.78528191125696,5.38923076923077,-0.01,1,1
"109","y1",5.49302461298104,5.38923076923077,-0.01,1,1
"110","y2",0.999315730359097,5.38923076923077,-0.01,1,1
"111","rmse",1.18087005814773,5.64538461538462,-0.01,1,1
"112","unif",2.89812650056396,5.64538461538462,-0.01,1,1
"113","var",2.89146584400939,5.64538461538462,-0.01,1,1
"114","y1",5.72177153324892,5.64538461538462,-0.01,1,1
"115","y2",0.98326384809813,5.64538461538462,-0.01,1,1
"116","rmse",1.20185152071215,5.90153846153846,-0.01,1,1
"117","unif",3.03063170037734,5.90153846153846,-0.01,1,1
"118","var",3.02472390909701,5.90153846153846,-0.01,1,1
"119","y1",5.99549781087025,5.90153846153846,-0.01,1,1
"120","y2",1.00033029564809,5.90153846153846,-0.01,1,1
"121","rmse",1.21107788914572,6.15769230769231,-0.01,1,1
"122","unif",3.13890575893783,6.15769230769231,-0.01,1,1
"123","var",3.14125918823448,6.15769230769231,-0.01,1,1
"124","y1",6.21458814549686,6.15769230769231,-0.01,1,1
"125","y2",1.00339518627401,6.15769230769231,-0.01,1,1
"126","rmse",1.20662126411625,6.41384615384615,-0.01,1,1
"127","unif",3.2720409406112,6.41384615384615,-0.01,1,1
"128","var",3.26522809491219,6.41384615384615,-0.01,1,1
"129","y1",6.49116576995199,6.41384615384615,-0.01,1,1
"130","y2",0.995791863428554,6.41384615384615,-0.01,1,1
"131","rmse",1.21669946541173,6.67,-0.01,1,1
"132","unif",3.39813120544151,6.67,-0.01,1,1
"133","var",3.39044337812184,6.67,-0.01,1,1
"134","y1",6.73747607065834,6.67,-0.01,1,1
"135","y2",0.994539883754898,6.67,-0.01,1,1
"136","rmse",1.22019052814501,6.92615384615385,-0.01,1,1
"137","unif",3.52547401305695,6.92615384615385,-0.01,1,1
