"","name","y_rmse","mean1","mean2","var1","var2"
"1","rmse",0.127566842024163,0,0.01,1,0.01
"2","unif",0.50542972462468,0,0.01,1,0.01
"3","var",0.498153716757817,0,0.01,1,0.01
"4","y1",1.00643114971909,0,0.01,1,0.01
"5","y2",0.0993394401783007,0,0.01,1,0.01
"6","rmse",1.37930494572953,0,50,1,0.01
"7","unif",25.0023974763637,0,50,1,0.01
"8","var",25.4827450567561,0,50,1,0.01
"9","y1",0.997230451381868,0,50,1,0.01
"10","y2",49.9997687685463,0,50,1,0.01
"11","rmse",0.208251511971022,0,0.01,1,0.03
"12","unif",0.506856422113787,0,0.01,1,0.03
"13","var",0.500405507053309,0,0.01,1,0.03
"14","y1",0.999582128378538,0,0.01,1,0.03
"15","y2",0.173146856074003,0,0.01,1,0.03
"16","rmse",1.40008626939328,0,50,1,0.03
"17","unif",25.0060872837374,0,50,1,0.03
"18","var",25.345713019171,0,50,1,0.03
"19","y1",1.00886399235686,0,50,1,0.03
"20","y2",49.9997521044452,0,50,1,0.03
"21","rmse",0.259553871883955,0,0.01,1,0.05
"22","unif",0.51318786121273,0,0.01,1,0.05
"23","var",0.506607423047239,0,0.01,1,0.05
"24","y1",1.00039599955409,0,0.01,1,0.05
"25","y2",0.224012232828936,0,0.01,1,0.05
"26","rmse",1.38437517500693,0,50,1,0.05
"27","unif",25.0121182072768,0,50,1,0.05
"28","var",25.3628828595812,0,50,1,0.05
"29","y1",0.993028144933082,0,50,1,0.05
"30","y2",50.0037258671425,0,50,1,0.05
"31","rmse",0.292804940762967,0,0.01,1,0.07
"32","unif",0.512837069974976,0,0.01,1,0.07
"33","var",0.50697688941058,0,0.01,1,0.07
"34","y1",0.992315563796818,0,0.01,1,0.07
"35","y2",0.262067545369299,0,0.01,1,0.07
"36","rmse",1.39128389876389,0,50,1,0.07
"37","unif",25.0087162840121,0,50,1,0.07
"38","var",25.2967450016189,0,50,1,0.07
"39","y1",1.0022175819859,0,50,1,0.07
"40","y2",50.0048167635975,0,50,1,0.07
"41","rmse",0.330766291470645,0,0.01,1,0.09
"42","unif",0.524172797644481,0,0.01,1,0.09
"43","var",0.517737515604093,0,0.01,1,0.09
"44","y1",1.00178242719512,0,0.01,1,0.09
"45","y2",0.304168161621055,0,0.01,1,0.09
"46","rmse",1.38749176605432,0,50,1,0.09
"47","unif",25.0046894001271,0,50,1,0.09
"48","var",25.3490751835361,0,50,1,0.09
"49","y1",0.99919318365519,0,50,1,0.09
"50","y2",49.9963548928182,0,50,1,0.09
"51","rmse",0.351096324752513,0,0.01,1,0.11
"52","unif",0.525131492877095,0,0.01,1,0.11
"53","var",0.519783421148545,0,0.01,1,0.11
"54","y1",0.999364005498425,0,0.01,1,0.11
"55","y2",0.332371994563583,0,0.01,1,0.11
"56","rmse",1.38476033494158,0,50,1,0.11
"57","unif",25.0077869305437,0,50,1,0.11
"58","var",25.3329862097594,0,50,1,0.11
"59","y1",0.998257815234305,0,50,1,0.11
"60","y2",50.0046843247443,0,50,1,0.11
"61","rmse",0.380093050345746,0,0.01,1,0.13
"62","unif",0.534628233896923,0,0.01,1,0.13
"63","var",0.528796821283341,0,0.01,1,0.13
"64","y1",1.00286891010892,0,0.01,1,0.13
"65","y2",0.365918743839739,0,0.01,1,0.13
"66","rmse",1.3877142049692,0,50,1,0.13
"67","unif",25.0045119247023,0,50,1,0.13
"68","var",25.3654104560209,0,50,1,0.13
"69","y1",1.00277128918877,0,50,1,0.13
"70","y2",50.0026270800391,0,50,1,0.13
"71","rmse",0.393626365691457,0,0.01,1,0.15
"72","unif",0.536931032329838,0,0.01,1,0.15
"73","var",0.532190721309229,0,0.01,1,0.15
"74","y1",1.00076412924198,0,0.01,1,0.15
"75","y2",0.384167281851408,0,0.01,1,0.15
"76","rmse",1.37248929982828,0,50,1,0.15
"77","unif",25.0039931394398,0,50,1,0.15
"78","var",25.3526024454848,0,50,1,0.15
"79","y1",0.991919366459629,0,50,1,0.15
"80","y2",50.0024847734331,0,50,1,0.15
"81","rmse",0.415234102120129,0,0.01,1,0.17
"82","unif",0.544602061402084,0,0.01,1,0.17
"83","var",0.539714529020391,0,0.01,1,0.17
"84","y1",1.00871355269361,0,0.01,1,0.17
"85","y2",0.415490625343888,0,0.01,1,0.17
"86","rmse",1.39392418397124,0,50,1,0.17
"87","unif",25.0136325107416,0,50,1,0.17
"88","var",25.3425357458191,0,50,1,0.17
"89","y1",0.998512446331386,0,50,1,0.17
"90","y2",50.0036082078902,0,50,1,0.17
"91","rmse",0.430098786754201,0,0.01,1,0.19
"92","unif",0.547738064143617,0,0.01,1,0.19
"93","var",0.544431302767868,0,0.01,1,0.19
"94","y1",1.00433011868803,0,0.01,1,0.19
"95","y2",0.43564858481193,0,0.01,1,0.19
"96","rmse",1.37855063223765,0,50,1,0.19
"97","unif",24.9979759884072,0,50,1,0.19
"98","var",25.256151072751,0,50,1,0.19
"99","y1",0.999039831299365,0,50,1,0.19
"100","y2",49.9955047159227,0,50,1,0.19
"101","rmse",0.446691591063674,0,0.01,1,0.21
"102","unif",0.549426855167829,0,0.01,1,0.21
"103","var",0.545271831103345,0,0.01,1,0.21
"104","y1",0.997859469190361,0,0.01,1,0.21
"105","y2",0.463155275439833,0,0.01,1,0.21
"106","rmse",1.38579265303643,0,50,1,0.21
"107","unif",24.9995812962409,0,50,1,0.21
"108","var",25.3716719392295,0,50,1,0.21
"109","y1",1.00514995676254,0,50,1,0.21
"110","y2",50.0001239969236,0,50,1,0.21
"111","rmse",0.457446021903631,0,0.01,1,0.23
"112","unif",0.551358081382696,0,0.01,1,0.23
"113","var",0.547557086801143,0,0.01,1,0.23
"114","y1",0.994906221230191,0,0.01,1,0.23
"115","y2",0.481365731267566,0,0.01,1,0.23
"116","rmse",1.39860104127972,0,50,1,0.23
"117","unif",25.0153985395983,0,50,1,0.23
"118","var",25.2875747496744,0,50,1,0.23
"119","y1",1.00247497199307,0,50,1,0.23
"120","y2",50.0080940619204,0,50,1,0.23
"121","rmse",0.470867725953721,0,0.01,1,0.25
"122","unif",0.557519573424325,0,0.01,1,0.25
"123","var",0.553834686319881,0,0.01,1,0.25
"124","y1",0.995964124080218,0,0.01,1,0.25
"125","y2",0.499426646205448,0,0.01,1,0.25
"126","rmse",1.40568373867062,0,50,1,0.25
"127","unif",25.0161255943348,0,50,1,0.25
"128","var",25.3179786315171,0,50,1,0.25
"129","y1",1.00876658345017,0,50,1,0.25
"130","y2",50.0115525252698,0,50,1,0.25
"131","rmse",0.48404177290669,0,0.01,1,0.27
"132","unif",0.563436872996193,0,0.01,1,0.27
"133","var",0.559924813460916,0,0.01,1,0.27
"134","y1",1.00167518638133,0,0.01,1,0.27
"135","y2",0.522334565470779,0,0.01,1,0.27
"136","rmse",1.35441742734513,0,50,1,0.27
"137","unif",24.9972945239699,0,50,1,0.27
"138","var",25.2011089150899,0,50,1,0.27
"139","y1",0.985394883193034,0,50,1,0.27
"140","y2",50.0024083299457,0,50,1,0.27
"141","rmse",0.484606667132317,0,0.01,1,0.29
"142","unif",0.558797570712696,0,0.01,1,0.29
"143","var",0.555252363753349,0,0.01,1,0.29
"144","y1",0.997769549363093,0,0.01,1,0.29
"145","y2",0.534157596729978,0,0.01,1,0.29
"146","rmse",1.37109065101305,0,50,1,0.29
"147","unif",24.9958305216521,0,50,1,0.29
"148","var",25.2559595164032,0,50,1,0.29
"149","y1",0.999843147969767,0,50,1,0.29
"150","y2",50.0034460963173,0,50,1,0.29
"151","rmse",0.505940389661443,0,0.01,1,0.31
"152","unif",0.575568532659692,0,0.01,1,0.31
"153","var",0.572511824669288,0,0.01,1,0.31
"154","y1",1.00872914090125,0,0.01,1,0.31
"155","y2",0.554187110697087,0,0.01,1,0.31
"156","rmse",1.38048018840591,0,50,1,0.31
"157","unif",25.0119308161866,0,50,1,0.31
"158","var",25.2423237811762,0,50,1,0.31
"159","y1",0.991005626235514,0,50,1,0.31
"160","y2",50.0050516015057,0,50,1,0.31
"161","rmse",0.510519485624021,0,0.01,1,0.33
"162","unif",0.570564637096283,0,0.01,1,0.33
"163","var",0.568505260386057,0,0.01,1,0.33
"164","y1",0.996354459205772,0,0.01,1,0.33
"165","y2",0.574015191371227,0,0.01,1,0.33
"166","rmse",1.39299596261021,0,50,1,0.33
"167","unif",25.0152178746871,0,50,1,0.33
"168","var",25.1220615435408,0,50,1,0.33
"169","y1",0.996674375044256,0,50,1,0.33
"170","y2",50.0045359471352,0,50,1,0.33
"171","rmse",0.526404157177287,0,0.01,1,0.35
"172","unif",0.584787825326176,0,0.01,1,0.35
"173","var",0.58175500427993,0,0.01,1,0.35
"174","y1",1.00967081000222,0,0.01,1,0.35
"175","y2",0.588941184754325,0,0.01,1,0.35
"176","rmse",1.4010179065585,0,50,1,0.35
"177","unif",25.0074088566451,0,50,1,0.35
"178","var",25.2762562810703,0,50,1,0.35
"179","y1",1.01019621585255,0,50,1,0.35
"180","y2",50.0036405147211,0,50,1,0.35
"181","rmse",0.540594192825686,0,0.01,1,0.37
"182","unif",0.59238585271347,0,0.01,1,0.37
"183","var",0.589724914116299,0,0.01,1,0.37
"184","y1",1.00496391951309,0,0.01,1,0.37
"185","y2",0.60664181709388,0,0.01,1,0.37
"186","rmse",1.38292740727151,0,50,1,0.37
"187","unif",25.0028866427894,0,50,1,0.37
"188","var",25.2959279764796,0,50,1,0.37
"189","y1",1.00096823676358,0,50,1,0.37
"190","y2",50.0027731936911,0,50,1,0.37
"191","rmse",0.547865833010823,0,0.01,1,0.39
"192","unif",0.594832521021371,0,0.01,1,0.39
"193","var",0.592666575480185,0,0.01,1,0.39
"194","y1",1.01153241389409,0,0.01,1,0.39
"195","y2",0.629557842183522,0,0.01,1,0.39
"196","rmse",1.36948444573783,0,50,1,0.39
"197","unif",25.0020707888252,0,50,1,0.39
"198","var",25.2875365808136,0,50,1,0.39
"199","y1",0.99255853818663,0,50,1,0.39
"200","y2",50.0041960432896,0,50,1,0.39
"201","rmse",0.549628084997223,0,0.01,1,0.41
